(root, empty, 0)
<<<<<<< HEAD
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
(node11, empty, 0)
(node12, empty, 0)
(node3, empty, 0)
(node31, empty, 0)
(node32, empty, 0)
(node321, empty, 0)
(node322, empty, 0)
(node2, empty, 0)
(root, empty, 0)
(node1, empty, 0)
